cell_line,treatment,replicate,Assay,time,Ct,Norm2ref
A,Control,1,MMP1,24.0,26.99965,0.0232173823864
A,Control,1,MMP1,48.0,28.17483,0.00968558235335
A,Control,1,MMP1,72.0,30.38411,0.00305767621411
A,Control,1,MMP1,96.0,28.40244,0.0109808662177
A,Control,1,MMP13,0.5,29.0994,0.00571428928661
A,Control,1,MMP13,1.0,28.75888,0.00584675538304
A,Control,1,MMP13,2.0,29.49779,0.00409780139537
A,Control,1,MMP13,3.0,31.02435,0.00173830794543
A,Control,1,MMP13,4.0,30.86424,0.00171676274431
A,Control,1,MMP13,8.0,29.95098,0.00398295368926
A,Control,1,MMP13,12.0,31.15828,0.00144276811083
A,Control,1,MMP13,24.0,29.00131,0.00579767081621
A,Control,1,MMP13,48.0,29.18962,0.00479339820424
A,Control,1,MMP13,72.0,29.1669,0.00710899511623
A,Control,1,MMP13,96.0,29.48763,0.00517561376783
A,Control,1,MMP14,0.5,22.8643,0.430441710741
A,Control,1,MMP14,1.0,22.70505,0.388417995638
A,Control,1,MMP14,2.0,23.16545,0.330198570471
A,Control,1,MMP14,3.0,22.93639,0.472982724904
A,Control,1,MMP14,4.0,22.95605,0.412394326111
A,Control,1,MMP14,8.0,23.00924,0.489640371639
A,Control,1,MMP14,12.0,23.10972,0.381992218924
A,Control,1,MMP14,24.0,22.79765,0.427308267902
A,Control,1,MMP14,48.0,22.56042,0.474494907893
A,Control,1,MMP14,72.0,22.71446,0.622567149806
A,Control,1,MMP14,96.0,22.93421,0.486113691963
A,Control,1,MMP2,0.5,21.94189,0.815806999317
A,Control,1,MMP2,1.0,21.69004,0.784960491981
A,Control,1,MMP2,2.0,21.67252,0.929376956571
A,Control,1,MMP2,3.0,22.16022,0.810019978808
A,Control,1,MMP2,4.0,21.93289,0.838136070914
A,Control,1,MMP2,8.0,21.92903,1.03526809602
A,Control,1,MMP2,12.0,21.63317,1.06301735915
A,Control,1,MMP2,24.0,21.2287,1.26777536273
A,Control,1,MMP2,48.0,21.25306,1.17431911785
A,Control,1,MMP2,72.0,21.48493,1.45986135317
A,Control,1,MMP2,96.0,21.64081,1.19148903518
A,Control,1,NOX4,0.5,28.25541,0.0102571930366
A,Control,1,NOX4,1.0,27.85764,0.0109198129059
A,Control,1,NOX4,2.0,29.03212,0.00565889380566
A,Control,1,NOX4,3.0,28.43293,0.0104766362786
A,Control,1,NOX4,4.0,28.58666,0.00832396369885
A,Control,1,NOX4,8.0,30.63779,0.00247431418822
A,Control,1,NOX4,12.0,28.36365,0.0100106895066
A,Control,1,NOX4,24.0,29.54964,0.00396451235434
A,Control,1,NOX4,48.0,28.94608,0.00567487570801
A,Control,1,NOX4,72.0,29.34602,0.00627896009614
A,Control,1,NOX4,96.0,28.74465,0.00866205876336
A,Control,1,PDGFA,0.5,29.27015,0.0050764644716
A,Control,1,PDGFA,1.0,31.56539,0.000835740081351
A,Control,1,PDGFA,2.0,29.66132,0.00365867195013
A,Control,1,PDGFA,3.0,31.20027,0.00153875514624
A,Control,1,PDGFA,4.0,30.08207,0.0029523436785
A,Control,1,PDGFA,8.0,29.20673,0.00667185856249
A,Control,1,PDGFA,12.0,30.04421,0.00312294993455
A,Control,1,PDGFA,24.0,29.95808,0.00298701280322
A,Control,1,PDGFA,48.0,28.56817,0.00737426261235
A,Control,1,PDGFA,72.0,28.75494,0.00945846220716
A,Control,1,PDGFA,96.0,29.05125,0.00700366442418
A,Control,1,PMEPA1,0.5,29.393,0.00466208101409
A,Control,1,PMEPA1,1.0,29.6808,0.00308595330719
A,Control,1,PMEPA1,2.0,29.6974,0.00356830779401
A,Control,1,PMEPA1,3.0,30.14121,0.00320610946046
A,Control,1,PMEPA1,4.0,29.4547,0.00456062223329
A,Control,1,PMEPA1,8.0,29.88122,0.00418027746846
A,Control,1,PMEPA1,12.0,28.30922,0.0103955878794
A,Control,1,PMEPA1,24.0,28.46207,0.00842521452758
A,Control,1,PMEPA1,48.0,28.62552,0.00708687103073
A,Control,1,PMEPA1,72.0,28.32588,0.012734457925
A,Control,1,PMEPA1,96.0,28.54248,0.00996507014029
A,Control,1,PPIA,0.5,22.78368,0.455180225908
